,0
0,Alaska
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Georgia
6,Hawaii
7,Indiana
8,Iowa
9,Kansas
10,Kentucky
11,Maine
12,Maryland
13,Massachusetts
14,Michigan
15,Mississippi
16,Missouri
17,New Hampshire
18,New Jersey
19,New Mexico
20,New York
21,Oklahoma
22,Pennsylvania
23,Rhode Island
24,Tennessee
25,Vermont
26,Virginia
27,West Virginia
28,Wisconsin
29,Wyoming
